id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22290712,Great room in an amazing apartment - Mile End,72455148,Claire,,Le Plateau-Mont-Royal,45.52543,-73.60493,Private room,50,4,0,,,1,0
22291189,Apartment November season Nice & Good location***,138636912,Doli,,Mercier-Hochelaga-Maisonneuve,45.54687,-73.55431,Entire home/apt,90,2,8,2019-10-24,0.32,1,0
22291988,This lovely semidetached house is near university.,162925283,Minghua,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46338,-73.64669,Entire home/apt,101,5,11,2019-11-16,0.51,2,60
22292095,SOSHE 104,3299104,Franca,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47295,-73.60758,Entire home/apt,90,31,3,2019-02-10,0.16,30,196
22292359,Marche Jean Talon Apartment,15375920,Kate,,Villeray-Saint-Michel-Parc-Extension,45.53881,-73.61902,Entire home/apt,55,3,2,2018-07-15,0.08,1,0
22293638,Sunny bedroom in wonderful neighbourhood,6882770,Nairi,,Villeray-Saint-Michel-Parc-Extension,45.53106,-73.62991,Entire home/apt,35,1,4,2018-06-23,0.16,2,0
22295805,Semidetached house in NDG OF Montreal,162925283,Minghua,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46499,-73.64526,Entire home/apt,155,5,0,,,2,179
22296314,Spacious Studio DT Mtl | DestinationLofts St-Denis 314,40822678,Monique@Lovemtl,,Le Plateau-Mont-Royal,45.52247,-73.5777,Entire home/apt,141,2,23,2019-01-13,0.93,6,283
22301115,Studio Plateau Mont-Royal,41479922,Maxime,,Le Plateau-Mont-Royal,45.5294,-73.57881,Entire home/apt,98,3,4,2019-09-29,0.16,1,0
22304348,Appart Mile-End avec chat,50854758,Joeva,,Le Plateau-Mont-Royal,45.52255,-73.59323,Entire home/apt,50,10,1,2017-12-22,0.04,1,0
22305860,Big apartment (7 1/2) nice and bright - Rosemont,132609915,Joanie,,Rosemont-La Petite-Patrie,45.54527,-73.60658,Entire home/apt,200,1,2,2018-08-05,0.08,2,0
22305922,Spacious bedroom in downtown,163041724,Alexis,,Ville-Marie,45.49524,-73.58001,Private room,89,3,0,,,1,0
22309735,Sunny and quiet apartment in the heart of Mile end,20376202,Saad,,Le Plateau-Mont-Royal,45.52007,-73.59191,Entire home/apt,74,4,0,,,1,0
22311887,Vintage Montreal Flat B- 4 Bedrooms,15589576,Mika,,Ville-Marie,45.5202,-73.55374,Entire home/apt,134,1,141,2020-01-12,5.64,3,287
22315957,GAB Maison - Dorm #3 Top Bed #6,729522,GAB Maison,,Ville-Marie,45.5274,-73.56177,Shared room,14,32,6,2019-12-02,0.25,15,272
22318432,New Condo in Downtown Montreal. The Place to Be!!,163164541,Rudy,,Le Plateau-Mont-Royal,45.5135,-73.57078,Entire home/apt,104,1,19,2019-07-22,1.01,1,105
22318671,Condo Dorval,163168299,Emile,,Dorval,45.44564,-73.72328,Entire home/apt,80,1,2,2018-01-02,0.08,1,0
22321059,Sunny room in Plateau near the mountain,17480671,Nadia,,Le Plateau-Mont-Royal,45.51725,-73.58152,Private room,74,2,21,2019-11-10,0.85,1,88
22325665,Sonder | The Village | Chic 1BR + Balcony,12243051,Sonder,,Ville-Marie,45.52707,-73.5598,Entire home/apt,70,2,14,2019-08-29,0.62,151,54
22326062,Sonder | Rue Roy | Spacious 5BR + Balcony,12243051,Sonder,,Le Plateau-Mont-Royal,45.51842,-73.57466,Entire home/apt,162,2,48,2019-12-15,2.33,151,129
22327133,Sonder | The Village | Airy 1BR + Balcony,12243051,Sonder,,Ville-Marie,45.52745,-73.56029,Entire home/apt,70,2,2,2019-07-01,0.10,151,50
22327501,Montreal launchpad,163236894,Fernando,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50174,-73.63275,Entire home/apt,210,31,4,2019-12-21,0.16,1,179
22328088,Chaleureux et Accueillant 2BR_Claude-RobillardMTL,147561971,Joanel,,Ahuntsic-Cartierville,45.56327,-73.64321,Entire home/apt,51,30,41,2019-12-01,1.66,1,145
22331014,Vintage Montreal Flat C- 4 Bedrooms,15589576,Mika,,Ville-Marie,45.52026,-73.55404,Entire home/apt,134,1,142,2020-01-12,5.66,3,295
22334371,Condo chaleureux pour vous rendre heureux!,53958572,Joanie,,Rosemont-La Petite-Patrie,45.54534,-73.57719,Entire home/apt,74,3,7,2019-01-24,0.28,1,0
22336599,Large loft in Old Montreal,10585712,Frederick,,Ville-Marie,45.50624,-73.55506,Entire home/apt,164,1,96,2019-12-30,4.35,20,359
22338245,Sonder | The Village | Restful 2BR + Balcony,12243051,Sonder,,Ville-Marie,45.52577,-73.5599,Entire home/apt,97,2,13,2019-09-01,0.66,151,155
22338797,Sonder | The Village | Warm 1BR + Balcony,12243051,Sonder,,Ville-Marie,45.52541,-73.561,Entire home/apt,70,2,14,2019-12-27,0.61,151,102
22339211,Loft avec terrain,40638786,Jocelyne,,LaSalle,45.41931,-73.62529,Entire home/apt,54,32,5,2019-11-12,0.27,2,365
22339247,Sonder | The Village | Serene 2BR + Balcony,12243051,Sonder,,Ville-Marie,45.52577,-73.56144,Entire home/apt,101,2,16,2019-08-22,0.64,151,56
22339792,Sonder | The Village | Airy 2BR + Balcony,12243051,Sonder,,Ville-Marie,45.52599,-73.55943,Entire home/apt,94,2,12,2019-11-03,0.60,151,142
22341078,Chambre à louer dans superbe logement Mile-End!,63382579,Karine,,Rosemont-La Petite-Patrie,45.53028,-73.60591,Private room,30,3,1,2019-07-02,0.15,2,0
22341172,Sunny 2 bedroom family home,3734774,Joanna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47302,-73.63064,Entire home/apt,150,3,1,2018-08-06,0.06,3,0
22341337,Bas de duplex idéal pour petite famille,1971887,Catherine,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46893,-73.61416,Entire home/apt,60,2,0,,,1,0
22341407,Bright & Contemporary Apt on Saint Denis Street,66055808,John,,Le Plateau-Mont-Royal,45.51876,-73.57369,Entire home/apt,90,1,64,2019-12-28,2.61,30,334
22341728,"Beautiful, perfectly located Old Montréal condo",758365,Stéphane,,Ville-Marie,45.50195,-73.55835,Entire home/apt,82,30,3,2019-03-04,0.14,2,329
22343558,MAISON BOIS-FRANC,163367396,Antoinette,,Saint-Laurent,45.51663,-73.70437,Entire home/apt,146,2,0,,,1,0
22352147,Nice one bedroom 10 minutes from downtown Montreal,23709158,Fabiana,,Verdun,45.45209,-73.54585,Entire home/apt,70,2,1,2017-12-29,0.04,1,0
22355940,Chalet urbain (2 étages) dans un quartier branché,13422796,Mylène,,Le Sud-Ouest,45.47338,-73.58429,Entire home/apt,115,2,16,2019-07-18,0.67,1,0
22356215,ELEGANCE & COMFORT 2nd Floor Apartment + BONUS!,155930550,Simon,,Montréal-Ouest,45.45835,-73.65945,Entire home/apt,84,31,27,2019-07-07,1.20,2,318
22357152,Big and bright in Villeray/ Little Italy!,2496655,Sara,,Villeray-Saint-Michel-Parc-Extension,45.54127,-73.62131,Entire home/apt,50,3,0,,,1,0
22358576,Unique Montreal home w/ exposed brick DOWNTOWN,35988881,Dimitri,,Le Sud-Ouest,45.48008,-73.58222,Entire home/apt,131,180,3,2018-03-12,0.12,1,365
22359089,"SAN MARIANO Little Italy, Montreal",35822358,Sandra,,Rosemont-La Petite-Patrie,45.53344,-73.61294,Entire home/apt,214,2,32,2020-01-05,1.30,1,224
22360457,Cozy apartment in the Mile End with an artsy vibe,163505034,Sarah,,Le Plateau-Mont-Royal,45.52181,-73.59063,Entire home/apt,110,2,1,2018-01-24,0.04,1,0
22361587,Montréal: condo ville marie proximité métro,154732702,Yann,,Ville-Marie,45.53305,-73.55174,Entire home/apt,80,1,16,2018-06-10,0.66,1,0
22367900,Parfaite chambre avec salle de bain privée,51457452,Olivier,,Mercier-Hochelaga-Maisonneuve,45.55238,-73.55305,Private room,44,2,2,2018-10-09,0.11,2,78
22371847,Sonder | The Village | Chic 2BR + Balcony,12243051,Sonder,,Ville-Marie,45.52538,-73.56086,Entire home/apt,101,2,9,2019-09-01,0.36,151,57
22372774,Flamingo's Style Condo Heart of Downtown Montreal,128621157,Pavel,,Ville-Marie,45.49217,-73.57678,Entire home/apt,50,1,106,2019-10-01,4.26,1,0
22373817,AMAZING 3 bedroom - Olympic Stadium - Walk 2 Metro,161363326,Arnaud,,Mercier-Hochelaga-Maisonneuve,45.5537,-73.5508,Entire home/apt,150,31,24,2018-11-25,0.97,2,90
22374572,LaSalle riverside new decorative nice bedroom #2,72916231,Tiffany,,LaSalle,45.41763,-73.61434,Private room,39,1,7,2019-09-29,0.37,4,276
22374798,"Nice 3 rooms, near Universities, 20 min downtown",15224901,Cristina,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50336,-73.62976,Entire home/apt,110,7,12,2019-08-11,0.54,21,87
22375230,Cozy Condo Downtown MTL [Park. 15$/night],498177,Sam,,Ville-Marie,45.50247,-73.58048,Entire home/apt,80,1,103,2019-12-30,4.15,21,69
22375794,Private Room in Huge Apartment - Place des Arts,6341980,Jeremy,,Ville-Marie,45.50922,-73.56937,Private room,30,29,11,2018-07-22,0.51,1,0
22376453,Spacious cozy APARTMENT ON ST-DENIS Le Plateau,161288864,Steve,,Le Plateau-Mont-Royal,45.51814,-73.57197,Entire home/apt,180,1,72,2019-12-06,3.04,3,326
22377449,Logement au cœur du quartier Rosemont,49892762,Julie,,Rosemont-La Petite-Patrie,45.5463,-73.58119,Entire home/apt,55,1,0,,,2,0
22378281,LaSalle riverside new decorative nice bedroom #1,72916231,Tiffany,,LaSalle,45.41779,-73.6153,Private room,39,1,2,2018-08-06,0.11,4,347
22387197,Chambre spacieuse Hochelaga,14388178,Anne Marie,,Mercier-Hochelaga-Maisonneuve,45.54021,-73.54194,Private room,20,2,0,,,1,0
22387292,Studio bleu du Village,12709745,Philippe,,Ville-Marie,45.52084,-73.55289,Entire home/apt,90,2,108,2019-12-27,4.36,8,264
22389502,Cozy Apartment right on Jarry,36571754,Jeremy,,Villeray-Saint-Michel-Parc-Extension,45.52912,-73.63679,Entire home/apt,50,1,1,2017-12-29,0.04,3,0
22389947,Designer's home in the heart of the Plateau !,17242158,Cassie,,Le Plateau-Mont-Royal,45.52604,-73.5844,Entire home/apt,80,1,79,2019-12-29,3.19,1,241
22390162,Cozy private room in St Henri Montreal near metro,19866224,Heidy,,Le Sud-Ouest,45.47651,-73.59018,Private room,37,2,65,2019-12-23,2.62,1,53
22390254,"Cosy , Condo at Plateau-Mont-Royal",27331270,Francis,,Le Plateau-Mont-Royal,45.51796,-73.57345,Entire home/apt,99,1,190,2019-12-01,7.63,3,133
22398311,PRIVATE ROOM on PLATEAU **Backyard Paradise**,15787342,Louis-Philippe,,Le Plateau-Mont-Royal,45.52953,-73.57666,Private room,150,2,15,2019-10-14,0.63,2,0
22398973,The Lorne,161202302,Nicolas,,Le Plateau-Mont-Royal,45.50906,-73.57925,Private room,35,1,2,2017-12-31,0.08,1,0
22399943,Appartement en plein cœur de l'Avenue du MontRoyal,163839601,Saif,,Le Plateau-Mont-Royal,45.52351,-73.57384,Entire home/apt,85,18,0,,,1,0
22401470,BRIGHT & SPACIOUS | DOWNTOWN MONTREAL,130155545,Christina,,Ville-Marie,45.49842,-73.57664,Entire home/apt,115,1,131,2019-12-28,5.33,3,0
22401935,Grande chambre à 5 min de l'avenue Mont-Royal,6411848,Audrey,,Le Plateau-Mont-Royal,45.53647,-73.57486,Private room,30,3,4,2018-08-04,0.22,1,0
22408647,"Belle logement proche au Métro 
Et la RUE Ontario",117681289,Samira,,Mercier-Hochelaga-Maisonneuve,45.54584,-73.54328,Entire home/apt,70,5,0,,,1,0
22408806,All Included Private Room Near Jolicoeur Metro,129599903,Anthony Joel,,Le Sud-Ouest,45.45405,-73.5853,Private room,25,1,9,2019-10-06,0.43,2,287
22410219,Chambre Plateau Mont Royal 2 personnes,33996420,Nico,,Le Plateau-Mont-Royal,45.52574,-73.5789,Private room,50,1,2,2018-01-04,0.08,2,0
